kingdom,IUCNstatus,SpeciesAccepted
Animalia,LC,Alces alces
Animalia,LC,Alouatta seniculus
Animalia,NA,Americamysis bahia
Animalia,CR,Ara glaucogularis
Animalia,NA,Bos taurus primigenius
Animalia,CR,Brachyteles hypoxanthus
Animalia,LC,Canis lupus
Animalia,LC,Capra ibex
Animalia,VU,Cebus capucinus
Animalia,LC,Cervus canadensis
Animalia,LC,Chlorocebus aethiops
Animalia,LC,Dama dama
Animalia,LC,Dasypus novemcinctus
Animalia,NA,Diadema antillarum
Animalia,NT,Dipodomys spectabilis
Animalia,NT,Erythrocebus patas
Animalia,VU,Falco concolor
Animalia,VU,Giraffa camelopardalis
Animalia,LC,Globicephala macrorhynchus
Animalia,NA,Gorilla beringei beringei
Animalia,LC,Kobus ellipsiprymnus
Animalia,LC,Leptonychotes weddellii
Animalia,NT,Lutra lutra
Animalia,EN,Nipponia nippon
Animalia,LC,Odocoileus virginianus
Animalia,LC,Ovis canadensis
Animalia,VU,Physeter macrocephalus
Animalia,EN,Platalea minor
Animalia,LC,Puma concolor
Animalia,LC,Pygoscelis adeliae
Animalia,NA,Amietophrynus gutturalis
Animalia,VU,Sousa chinensis
Animalia,LC,Stercorarius longicaudus
Animalia,LC,Tamias striatus
Animalia,NT,Vireo atricapilla
Animalia,LC,Zalophus californianus
Animalia,EN,Alytes muletensis
Animalia,NA,Amphiascus tenuiremis
Animalia,CR,Beatragus hunteri
Animalia,LC,Connochaetes taurinus
Animalia,LC,Phoca vitulina
Animalia,LC,Rana temporaria
Animalia,LC,Ursus arctos
Animalia,EN,Acipenser fulvescens
Animalia,VU,Acipenser transmontanus
Animalia,LC,Ambloplites rupestris
Animalia,LC,Ammocrypta pellucida
Animalia,LC,Amphiprion percula
Animalia,CR,Astroblepus ubidiai
Animalia,VU,Brachyrhaphis rhabdophora
Animalia,LC,Catostomus catostomus
Animalia,NA,Catostomus commersoni
Animalia,LC,Catostomus platyrhynchus
Animalia,NA,Clinocottus analis
Animalia,LC,Clinocottus globiceps
Animalia,LC,Clinostomus elongatus
Animalia,LC,Clinostomus funduloides
Animalia,CR,Coregonus huntsmani
Animalia,CR,Coregonus reighardi
Animalia,VU,Coregonus zenithicus
Animalia,NA,Cottus bairdi
Animalia,LC,Cottus confusus
Animalia,NA,Cottus sp.
Animalia,CR,Cyprinodon diabolis
Animalia,LC,Cyprinus carpio
Animalia,VU,Epinephelus morio
Animalia,LC,Erimyzon sucetta
Animalia,LC,Esox lucius
Animalia,LC,Etheostoma flabellare
Animalia,NA,Gasterosteus sp.
Animalia,VU,Genypterus blacodes
Animalia,NT,Hybognathus argyritis
Animalia,LC,Hypseleotris klunzingeri
Animalia,LC,Lepisosteus oculatus
Animalia,LC,Maccullochella peelii
Animalia,LC,Macquaria ambigua
Animalia,LC,Macrhybopsis storeriana
Animalia,VU,Melanogrammus aeglefinus
Animalia,LC,Micropterus dolomieu
Animalia,LC,Morone saxatilis
Animalia,LC,Moxostoma duquesnii
Animalia,EN,Moxostoma hubbsi
Animalia,LC,Neogobius melanostomus
Animalia,LC,Nocomis leptocephalus
Animalia,LC,Notropis anogenus
Animalia,LC,Notropis percobromus
Animalia,LC,Notropis photogenis
Animalia,NT,Noturus stigmosus
Animalia,NA,Oligocottus maculosus
Animalia,NA,Oncorhynchus clarkii lewisi
Animalia,EN,Oncorhynchus gilae
Animalia,LC,Oncorhynchus kisutch
Animalia,LC,Oncorhynchus tshawytscha
Animalia,LC,Opsopoeodus emiliae
Animalia,LC,Oryzias latipes
Animalia,NA,Osmerus spectrum
Animalia,LC,Percina copelandi
Animalia,LC,Chrosomus oreas
Animalia,LC,Pimephales promelas
Animalia,LC,Poecilia reticulata
Animalia,LC,Pterois miles
Animalia,LC,Pterois volitans
Animalia,LC,Pylodictis olivaris
Animalia,LC,Retropinna semoni
Animalia,LC,Rhinichthys cataractae
Animalia,LC,Rhinichthys osculus
Animalia,LC,Rutilus rutilus
Animalia,LC,Salmo trutta
Animalia,VU,Salvelinus confluentus
Animalia,LC,Salvelinus fontinalis
Animalia,LC,Salvelinus malma
Animalia,LC,Sardina pilchardus
Animalia,LC,Sparisoma viride
Animalia,NA,Sprattus sprattus balticus
Animalia,LC,Stellifer illecebrosus
Animalia,LC,Tautogolabrus adspersus
Animalia,EN,Zingel asper
Animalia,NA,Zoarces viviparus
Animalia,NA,Plectus communis
Animalia,CR,Ambystoma mexicanum
Animalia,VU,Assa darlingtoni
Animalia,LC,Anaxyrus boreas
Animalia,NA,Cryptobranchus alleganiensis alleganiensis
Animalia,LC,Epidalea calamita
Animalia,CR,Geocrinia alba
Animalia,VU,Geocrinia vitellina
Animalia,LC,Rana aurora
Animalia,NA,Rana catesbeiana
Animalia,CR,Acropora cervicornis
Animalia,EN,Acropora downingi
Animalia,EN,Acropora hyacinthus
Animalia,VU,Agaricia agaricites
Animalia,NA,Alcyonium sp.
Animalia,LC,Cyphastrea microphthalma
Animalia,NA,Diploria strigosa
Animalia,NA,Dipsastrea pallida
Animalia,NA,Goniastrea aspera
Animalia,LC,Goniastrea favulus
Animalia,NA,Gorgonia ventalina
Animalia,CR,Helioseris cucullata
Animalia,NA,Leptogorgia virgulata
Animalia,NA,Montastraea annularis
Animalia,NA,Paramuricea clavata
Animalia,LC,Platygyra daedalea
Animalia,LC,Platygyra sinensis
Animalia,NA,Plexaura sp.
Animalia,EN,Pocillopora damicornis
Animalia,LC,Porites astreoides
Animalia,LC,Porites harrisoni
Animalia,NA,Platynathrus peltifer
Animalia,NA,Botrylloides violaceus
Animalia,NA,Botryllus schlosseri
Animalia,LC,Accipiter cooperii
Animalia,LC,Accipiter gentilis
Animalia,LC,Agelaius phoeniceus
Animalia,LC,Alcedo atthis
Animalia,CR,Amazona vittata
Animalia,LC,Ammodramus savannarum
Animalia,VU,Anarhynchus frontalis
Animalia,LC,Anas fulvigula
Animalia,CR,Anas laysanensis
Animalia,LC,Anas platyrhynchos
Animalia,LC,Anser anser
Animalia,NA,Chen caerulescens
Animalia,VU,Anthropoides paradiseus
Animalia,LC,Aquila fasciata
Animalia,LC,Aythya affinis
Animalia,LC,Bonasa umbellus
Animalia,LC,Bostrychia hagedash
Animalia,LC,Bubo virginianus
Animalia,LC,Buteo buteo
Animalia,LC,Buteo jamaicensis
Animalia,LC,Buteo lineatus
Animalia,NT,Buteo solitarius
Animalia,LC,Calidris temminckii
Animalia,VU,Calyptorhynchus lathami
Animalia,NA,Campylorhynchus brunneicapillus sandiegensis
Animalia,EN,Centrocercus minimus
Animalia,NT,Centrocercus urophasianus
Animalia,LC,Certhia americana
Animalia,LC,Ciconia ciconia
Animalia,LC,Cistothorus palustris
Animalia,LC,Coragyps atratus
Animalia,LC,Dendragapus obscurus
Animalia,NT,Setophaga cerulea
Animalia,VU,Diomedea exulans
Animalia,LC,Thalassarche melanophris
Animalia,NA,Dryocopus pileatus
Animalia,LC,Falco naumanni
Animalia,LC,Falco peregrinus
Animalia,LC,Forpus passerinus
Animalia,LC,Fulmarus glacialis
Animalia,LC,Gavia immer
Animalia,VU,Gyps coprotheres
Animalia,NT,Haematopus ostralegus
Animalia,LC,Haliaeetus albicilla
Animalia,CR,Himantopus novaezelandiae
Animalia,LC,Hirundo rustica
Animalia,LC,Jynx torquilla
Animalia,LC,Lagopus leucura
Animalia,LC,Lagopus muta
Animalia,NA,Lichenostomus melanops cassidix
Animalia,LC,Milvus migrans
Animalia,LC,Milvus milvus
Animalia,LC,Cyanistes caeruleus
Animalia,LC,Perisoreus canadensis
Animalia,LC,Pernis apivorus
Animalia,NA,Phalacrocorax auritus
Animalia,NT,Phoebastria immutabilis
Animalia,LC,Picoides arcticus
Animalia,NA,Picoides borealis
Animalia,LC,Poecile atricapillus
Animalia,CR,Puffinus auricularis
Animalia,NA,Puffinus tenuirostris
Animalia,NT,Somateria mollissima
Animalia,NA,Sternula antillarum browni
Animalia,LC,Sterna hirundo
Animalia,NT,Strix occidentalis
Animalia,LC,Sturnella neglecta
Animalia,LC,Turdus torquatus
Animalia,NT,Tympanuchus cupido
Animalia,LC,Upupa epops
Animalia,NT,Vermivora chrysoptera
Animalia,LC,Vireo latimeri
Animalia,LC,Zenaida macroura
Animalia,LC,Zonotrichia leucophrys
Animalia,NA,Adamussium colbecki
Animalia,NA,Arctica islandica
Animalia,NA,Crassostrea virginica
Animalia,NA,Gemma gemma
Animalia,NA,Geukensia demissa
Animalia,NA,Lasaea rubra
Animalia,NA,Lissarca miliaris
Animalia,NA,Lissarca notorcadensis
Animalia,NA,Mya arenaria
Animalia,NA,Mytilus californianus
Animalia,NA,Mytilus galloprovincialis
Animalia,NA,Nuttallia obscurata
Animalia,NA,Panopea generosa
Animalia,CR,Tridacna gigas
Animalia,NA,Yoldia notabilis
Animalia,NA,Daphnia magna
Animalia,NA,Daphnia pulex
Animalia,NA,Entosphenus macrostomus
Animalia,LC,Lampetra richardsoni
Animalia,LC,Petromyzon marinus
Animalia,NA,Eisenia fetida
Animalia,NA,Lumbricus terrestris
Animalia,NA,Amphimedon compressa
Animalia,NA,Spongia graminea
Animalia,NA,Xestospongia muta
Animalia,NA,Polydesmus angustus
Animalia,NA,Mesocentrotus franciscanus
Animalia,EN,Isurus oxyrinchus
Animalia,CR,Haliotis corrugata
Animalia,VU,Haliotis laevigata
Animalia,CR,Haliotis rufescens
Animalia,CR,Haliotis sorenseni
Animalia,NA,Cornu aspersa
Animalia,NT,Lepetodrilus fucensis
Animalia,NA,Physa heterostropha
Animalia,NA,Umbonium costatum
Animalia,NA,Watersipora subtorquata
Animalia,NA,Membranipora membranacea
Animalia,NA,Homo sapiens
Animalia,NA,Abax parallelepipedus
Animalia,NA,Acyrthosiphon pisum
Animalia,NA,Aedes albopictus
Animalia,NA,Proclossiana eunomia
Animalia,NA,Brevicoryne brassicae
Animalia,NA,Cephaloleia fenestrata
Animalia,NA,Colias alexandra
Animalia,NA,Lucanus miwai
Animalia,NA,Panstrongylus geniculatus
Animalia,NA,Scolytus ventralis
Animalia,NA,Tribolium sp.
